" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
4/21/2019 0:00,0.382
4/21/2019 1:00,0.371
4/21/2019 2:00,0.344
4/21/2019 3:00,0.312
4/21/2019 4:00,0.251
4/21/2019 5:00,0.184
4/21/2019 6:00,0.12
4/21/2019 7:00,0.005
4/21/2019 8:00,0
4/21/2019 9:00,0.001
4/21/2019 10:00,0.022
4/21/2019 11:00,0.012
4/21/2019 12:00,0.006
4/21/2019 13:00,0.007
4/21/2019 14:00,0.014
4/21/2019 15:00,0.025
4/21/2019 16:00,0.028
4/21/2019 17:00,0.048
4/21/2019 18:00,0.026
4/21/2019 19:00,0.008
4/21/2019 20:00,0.003
4/21/2019 21:00,0.004
4/21/2019 22:00,0.019
4/21/2019 23:00,0.051
4/22/2019 0:00,0.083
4/22/2019 1:00,0.115
4/22/2019 2:00,0.14
4/22/2019 3:00,0.134
4/22/2019 4:00,0.085
4/22/2019 5:00,0.03
4/22/2019 6:00,0.004
4/22/2019 7:00,0
4/22/2019 8:00,0
4/22/2019 9:00,0.001
4/22/2019 10:00,0.001
4/22/2019 11:00,0
4/22/2019 12:00,0
4/22/2019 13:00,0
4/22/2019 14:00,0.004
4/22/2019 15:00,0.011
4/22/2019 16:00,0.014
4/22/2019 17:00,0.006
4/22/2019 18:00,0.005
4/22/2019 19:00,0.024
4/22/2019 20:00,0.065
4/22/2019 21:00,0.105
4/22/2019 22:00,0.144
4/22/2019 23:00,0.18
4/23/2019 0:00,0.21
4/23/2019 1:00,0.167
4/23/2019 2:00,0.097
4/23/2019 3:00,0.078
4/23/2019 4:00,0.086
4/23/2019 5:00,0.064
4/23/2019 6:00,0.046
4/23/2019 7:00,0.011
4/23/2019 8:00,0
4/23/2019 9:00,0
4/23/2019 10:00,0.02
4/23/2019 11:00,0.038
4/23/2019 12:00,0.056
4/23/2019 13:00,0.087
4/23/2019 14:00,0.115
4/23/2019 15:00,0.128
4/23/2019 16:00,0.126
4/23/2019 17:00,0.125
4/23/2019 18:00,0.196
4/23/2019 19:00,0.249
4/23/2019 20:00,0.257
4/23/2019 21:00,0.309
4/23/2019 22:00,0.355
4/23/2019 23:00,0.379
4/24/2019 0:00,0.362
4/24/2019 1:00,0.328
4/24/2019 2:00,0.295
4/24/2019 3:00,0.27
4/24/2019 4:00,0.22
4/24/2019 5:00,0.16
4/24/2019 6:00,0.095
4/24/2019 7:00,0.009
4/24/2019 8:00,0
4/24/2019 9:00,0.003
4/24/2019 10:00,0.008
4/24/2019 11:00,0.033
4/24/2019 12:00,0.068
4/24/2019 13:00,0.11
4/24/2019 14:00,0.166
4/24/2019 15:00,0.241
4/24/2019 16:00,0.312
4/24/2019 17:00,0.327
4/24/2019 18:00,0.386
4/24/2019 19:00,0.522
4/24/2019 20:00,0.45
4/24/2019 21:00,0.391
4/24/2019 22:00,0.403
4/24/2019 23:00,0.395
4/25/2019 0:00,0.277
4/25/2019 1:00,0.277
4/25/2019 2:00,0.337
4/25/2019 3:00,0.317
4/25/2019 4:00,0.239
4/25/2019 5:00,0.229
4/25/2019 6:00,0.227
4/25/2019 7:00,0.156
4/25/2019 8:00,0.185
4/25/2019 9:00,0.211
