" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
1/14/2019 14:00,0.195
1/14/2019 15:00,0.214
1/14/2019 16:00,0.205
1/14/2019 17:00,0.279
1/14/2019 18:00,0.284
1/14/2019 19:00,0.252
1/14/2019 20:00,0.206
1/14/2019 21:00,0.165
1/14/2019 22:00,0.196
1/14/2019 23:00,0.22
1/15/2019 0:00,0.197
1/15/2019 1:00,0.199
1/15/2019 2:00,0.201
1/15/2019 3:00,0.195
1/15/2019 4:00,0.196
1/15/2019 5:00,0.208
1/15/2019 6:00,0.209
1/15/2019 7:00,0.15
1/15/2019 8:00,0.147
1/15/2019 9:00,0.105
1/15/2019 10:00,0.066
1/15/2019 11:00,0.055
1/15/2019 12:00,0.048
1/15/2019 13:00,0.042
1/15/2019 14:00,0.043
1/15/2019 15:00,0.039
1/15/2019 16:00,0.051
1/15/2019 17:00,0.09
1/15/2019 18:00,0.096
1/15/2019 19:00,0.076
1/15/2019 20:00,0.06
1/15/2019 21:00,0.055
1/15/2019 22:00,0.055
1/15/2019 23:00,0.056
1/16/2019 0:00,0.031
1/16/2019 1:00,0.011
1/16/2019 2:00,0.016
1/16/2019 3:00,0.023
1/16/2019 4:00,0.025
1/16/2019 5:00,0.031
1/16/2019 6:00,0.046
1/16/2019 7:00,0.032
1/16/2019 8:00,0.01
1/16/2019 9:00,0.007
1/16/2019 10:00,0.006
1/16/2019 11:00,0.002
1/16/2019 12:00,0.001
1/16/2019 13:00,0
1/16/2019 14:00,0
1/16/2019 15:00,0
1/16/2019 16:00,0
1/16/2019 17:00,0
1/16/2019 18:00,0
1/16/2019 19:00,0
1/16/2019 20:00,0.001
1/16/2019 21:00,0.004
1/16/2019 22:00,0.008
1/16/2019 23:00,0.009
1/17/2019 0:00,0.005
1/17/2019 1:00,0.001
1/17/2019 2:00,0
1/17/2019 3:00,0
1/17/2019 4:00,0
1/17/2019 5:00,0.001
1/17/2019 6:00,0.018
1/17/2019 7:00,0.036
1/17/2019 8:00,0.013
1/17/2019 9:00,0.023
1/17/2019 10:00,0.052
1/17/2019 11:00,0.088
1/17/2019 12:00,0.132
1/17/2019 13:00,0.161
1/17/2019 14:00,0.155
1/17/2019 15:00,0.113
1/17/2019 16:00,0.17
1/17/2019 17:00,0.247
1/17/2019 18:00,0.23
1/17/2019 19:00,0.213
1/17/2019 20:00,0.212
1/17/2019 21:00,0.259
1/17/2019 22:00,0.271
1/17/2019 23:00,0.32
1/18/2019 0:00,0.348
1/18/2019 1:00,0.337
1/18/2019 2:00,0.326
1/18/2019 3:00,0.28
1/18/2019 4:00,0.222
1/18/2019 5:00,0.153
1/18/2019 6:00,0.106
1/18/2019 7:00,0.082
1/18/2019 8:00,0.024
1/18/2019 9:00,0.009
1/18/2019 10:00,0.009
1/18/2019 11:00,0.011
1/18/2019 12:00,0.011
1/18/2019 13:00,0.009
1/18/2019 14:00,0.005
1/18/2019 15:00,0.003
1/18/2019 16:00,0.011
1/18/2019 17:00,0.064
1/18/2019 18:00,0.142
1/18/2019 19:00,0.167
1/18/2019 20:00,0.22
1/18/2019 21:00,0.286
1/18/2019 22:00,0.363
1/18/2019 23:00,0.42
1/19/2019 0:00,0.413
1/19/2019 1:00,0.407
1/19/2019 2:00,0.396
1/19/2019 3:00,0.407
1/19/2019 4:00,0.459
1/19/2019 5:00,0.566
1/19/2019 6:00,0.585
1/19/2019 7:00,0.559
1/19/2019 8:00,0.626
1/19/2019 9:00,0.876
